1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Kylian Mbappe
24,22.06.2024,22:00,E,Belgia,Romania,1.52,4.2,6,3-0,1,0,0,,F,Turkki,2,0,0,0,6,,3,Slovakia,,,,,,Ranska,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,4.33,3.9,1.77,1-1,X,0,0,,,,,,,,,,4,Romania,,,,,,Englanti,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,2.8,3.5,2.4,0-1,2,0,0,,,,,,,,,,Lohko F,,,Englanti,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,9.5,5.25,1.33,0-3,2,0,0,,,,,,,,,,1,Portugali,,Slovakia,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,3.7,3.6,1.95,0-0,X,0,0,,,,,,,,,,2,Turkki,,,,Englanti,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,2.15,3.7,3.1,2-0,1,0,0,,,,,,,,,,3,Tshekki,,,,Kroatia,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,1.42,4.8,6.75,2-0,1,0,0,,,,,,,,,,4,Georgia,,Sveitsi,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,1.36,5,8.75,4-0,1,0,0,,,,,,,,,,,,,Kroatia,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,2.4,3.4,2.87,3-1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,2.6,3.1,2.8,1-0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,4.33,3.8,1.77,0-1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,7.25,5.75,1.34,0-5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,3.1,3.3,2.3,1-2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,
