1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Florian Wirtz
11,18.06.2024,19:00,F,Turkki,Georgia,1.80,3.50,4.75,2-2,X,2,2,,C,Slovenia,4,0,4,-4,1,,Lohko C,,,Sveitsi,,,,,,,,,3,Toni Kroos
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.20,6.00,4-0,1,4,0,,C,Tanska,2,2,2,0,4,,1,Englanti,,,,Portugali,,,,,,,3,Jordan Pickford
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4.00,6.00,2-0,1,2,0,,D,Hollanti,4,2,5,-3,1,,2,Tanska,,,,Itävalta,,,,,,,3,Kylian Mbappe
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,3-1,1,3,1,,D,Itävalta,2,4,6,-2,4,,3,Serbia,,Itävalta,,,,,,,,,3,Antoine Griezman
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.50,3.40,2.10,1-0,1,1,0,,D,Puola,3,3,5,-2,3,,4,Slovenia,,Slovakia,,,,,,FINAALI (16p),,,3,Eduardo Camavinga
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.40,1.98,0-2,2,0,2,,D,Ranska,1,8,1,7,9,,Lohko D,,,,,,,,,Saksa,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.50,3.90,1.62,1-2,2,1,2,,E,Belgia,1,7,0,7,9,,1,Ranska,,,,,,,,Ranska,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.30,3.00,1-1,X,1,1,,E,Romania,2,2,5,-3,3,,2,Itävalta,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.80,3.40,2.00,2-1,1,2,1,,E,Slovakia,2,3,5,-2,3,,3,Puola,,Italia,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.30,3.50,2.15,1-2,2,1,2,,E,Ukraina,2,2,4,-2,3,,4,Hollanti,,,,Italia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.80,0-2,2,0,2,,F,Georgia,3,3,7,-4,2,,Lohko E,,,,,Ranska,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,4.60,3.50,1.82,0-0,X,0,0,,F,Portugali,1,13,3,10,9,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,5.25,4.00,1.62,2-4,2,2,4,,F,Tshekki,2,2,4,-2,4,,2,Slovakia,,Tshekki,,,,,,,,,,
24,22.06.2024,22:00,E,Belgia,Romania,1.52,4.20,6.00,3-0,1,3,0,,F,Turkki,4,4,8,-4,1,,3,Ukraina,,,,,,Ranska,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,4.33,3.90,1.77,1-2,2,1,2,,,,,,,,,,4,Romania,,,,,,Englanti,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,2.80,3.50,2.40,1-0,1,1,0,,,,,,,,,,Lohko F,,,Englanti,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,9.50,5.25,1.33,0-3,2,0,3,,,,,,,,,,1,Portugali,,Georgia,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,3.70,3.60,1.95,1-1,X,1,1,,,,,,,,,,2,Tshekki,,,,Englanti,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,2.15,3.70,3.10,2-2,X,2,2,,,,,,,,,,3,Georgia,,,,Kroatia,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,1.42,4.80,6.75,3-1,1,3,1,,,,,,,,,,4,Turkki,,Skotlanti,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,1.36,5.00,8.75,2-0,1,2,0,,,,,,,,,,,,,Kroatia,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,2.40,3.40,2.87,1-0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,2.60,3.10,2.80,1-2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,4.33,3.80,1.77,0-2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,7.25,5.75,1.34,1-5,2,1,5,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,3.10,3.30,2.30,2-0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,
