1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Kylian Mbappé
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4.00,6.00,3-0,X,0,0,,D,Hollanti,1,0,0,0,3,,2,Tanska,,,,Hollanti,,,,,,,3,İlkay Gündoğan
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,3-0,X,0,0,,D,Itävalta,1,0,0,0,3,,3,Serbia,,Hollanti,,,,,,,,,3,Lamine Yamal
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.50,3.40,2.10,1-0,X,0,0,,D,Puola,1,0,0,0,3,,4,Slovenia,,Ukraina,,,,,,FINAALI (16p),,,3,Kylian Mbappé
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.40,1.98,0-0,X,0,0,,D,Ranska,1,0,0,0,3,,Lohko D,,,,,,,,,Ranska,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.50,3.90,1.62,2-1,X,0,0,,E,Belgia,1,0,0,0,3,,1,Ranska,,,,,,,,Portugali,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.30,3.00,1-1,X,0,0,,E,Romania,1,0,0,0,3,,2,Hollanti,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.80,3.40,2.00,0-0,X,0,0,,E,Slovakia,1,0,0,0,3,,3,Puola,,Puola,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.30,3.50,2.15,2-1,X,0,0,,E,Ukraina,1,0,0,0,3,,4,Itävalta,,,,Belgia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.80,0-2,X,0,0,,F,Georgia,1,0,0,0,3,,Lohko E,,,,,Ranska,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,4.60,3.50,1.82,0-1,X,0,0,,F,Portugali,1,0,0,0,3,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,5.25,4.00,1.62,0-3,X,0,0,,F,Tshekki,1,0,0,0,3,,2,Ukraina,,Turkki,,,,,,,,,,
24,22.06.2024,22:00,E,Belgia,Romania,1.52,4.20,6.00,2-0,X,0,0,,F,Turkki,1,0,0,0,3,,3,Slovakia,,,,,,Englanti,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,4.33,3.90,1.77,1-2,X,0,0,,,,,,,,,,4,Romania,,,,,,Ranska,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,2.80,3.50,2.40,3-1,X,0,0,,,,,,,,,,Lohko F,,,Englanti,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,9.50,5.25,1.33,0-3,X,0,0,,,,,,,,,,1,Portugali,,Tshekki,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,3.70,3.60,1.95,2-1,X,0,0,,,,,,,,,,2,Turkki,,,,Englanti,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,2.15,3.70,3.10,2-0,X,0,0,,,,,,,,,,3,Tshekki,,,,Italia,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,1.42,4.80,6.75,1-1,X,0,0,,,,,,,,,,4,Georgia,,Skotlanti,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,1.36,5.00,8.75,2-1,X,0,0,,,,,,,,,,,,,Italia,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,2.40,3.40,2.87,2-2,X,0,0,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,2.60,3.10,2.80,0-0,X,0,0,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,4.33,3.80,1.77,1-2,X,0,0,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,7.25,5.75,1.34,1-5,X,0,0,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,3.10,3.30,2.30,1-1,X,0,0,,,,,,,,,,,,,,,,,,,,,,,
