1. Tulosveikkaus,,,,,,,,,,,,,,,,,,,,,,2. Alkulohkot,,,3. Pudotuspelit,,,,,,,,4. Valinnat,,
"Oikea tulos: kertoimen verran pisteitä, jos tulos on täysin oikein 2 x kerroin",,,,,,,,,,,,,,,Tulosveikkauksesta muodostettu autom. taulukko.,,,,,,,,Täytä lohkot,,Täytä puu. Korosta voittaja.,,,,,,,,,,
Lopulliset kertoimet lyödään lukkoon mahdollisimman lähellä avauspeliä,,,,,,,,,,AUTOM. APUSARAKKEET,,,,,Voit käyttää tätä taulukkoa avuksi kohdassa 2,,,,,,,,,,Pudotuspelipuu löytyy täältä.,,,,,,,,,Pts,Valinta
Nro,Pvm,Klo,Lohko,Koti,Vieras,1,X,2,Tulos,Merkki,Kotimaalit,Vierasmaalit,,Loh,Joukkue,SIj,TM,PM,ME,Pts,,2p/ oikein sijoitettu maa,,,,,,,,,,,"
Paras pelaaja (15p)",15,Rodri
11,18.06.2024,19:00,F,Turkki,Georgia,1.8,3.5,4.75,2-1,1,2,1,,C,Slovenia,4,3,7,-4,1,,Lohko C,,,Unkari,,,,,,,,,3,Antoine Griezmann
12,18.06.2024,22:00,F,Portugali,Tshekki,1.53,4.2,6,3-1,1,3,1,,C,Tanska,1,5,3,2,7,,1,Tanska,,,,Portugali,,,,,,,3,Florian Wirtz
13,19.06.2024,16:00,B,Kroatia,Albania,1.57,4,6,3-0,1,3,0,,D,Hollanti,2,6,4,2,4,,2,Englanti,,,,Hollanti,,,,,,,3,Lamine Yamal
14,19.06.2024,19:00,A,Saksa,Unkari,1.33,5.25,9.25,2-0,1,2,0,,D,Itävalta,3,3,5,-2,2,,3,Serbia,,Hollanti,,,,,,,,,3,Kylian Mbappé
15,19.06.2024,22:00,A,Skotlanti,Sveitsi,3.5,3.4,2.1,0-1,2,0,1,,D,Puola,4,2,7,-5,1,,4,Slovenia,,Ukraina,,,,,,FINAALI (16p),,,3,Jude Bellingham
16,20.06.2024,16:00,C,Slovenia,Serbia,3.75,3.4,1.98,2-2,X,2,2,,D,Ranska,1,7,2,5,9,,Lohko D,,,,,,,,,Ranska,,,,
17,20.06.2024,19:00,C,Tanska,Englanti,5.5,3.9,1.62,1-0,1,1,0,,E,Belgia,1,5,4,1,5,,1,Ranska,,,,,,,,Espanja,,,,
18,20.06.2024,22:00,B,Espanja,Italia,2.35,3.3,3,1-1,X,1,1,,E,Romania,4,3,4,-1,2,,2,Hollanti,,Belgia,,,,,,,,,,
19,21.06.2024,16:00,E,Slovakia,Ukraina,3.8,3.4,2,1-0,1,1,0,,E,Slovakia,2,3,3,0,4,,3,Itävalta,,Kroatia,,,,,,,,,,
20,21.06.2024,19:00,D,Puola,Itävalta,3.3,3.5,2.15,1-1,X,1,1,,E,Ukraina,2,4,4,0,4,,4,Puola,,,,Kroatia,,,,,,,,
21,21.06.2024,22:00,D,Hollanti,Ranska,4.33,3.75,1.8,1-2,2,1,2,,F,Georgia,4,2,7,-5,0,,Lohko E,,,,,Ranska,,,,,,,,
22,22.06.2024,16:00,F,Georgia,Tshekki,4.6,3.5,1.82,0-2,2,0,2,,F,Portugali,1,9,2,7,9,,1,Belgia,,Ranska,,,,,,,,,,
23,22.06.2024,19:00,F,Turkki,Portugali,5.25,4,1.62,0-3,2,0,3,,F,Tshekki,2,5,5,0,4,,2,Ukraina,,Tshekki,,,,,,,,,,
24,22.06.2024,22:00,E,Belgia,Romania,1.52,4.2,6,1-1,X,1,1,,F,Turkki,2,4,6,-2,4,,3,Slovakia,,,,,,Ranska,,,,,,
25,23.06.2024,22:00,A,Sveitsi,Saksa,4.33,3.9,1.77,2-2,X,2,2,,,,,,,,,,4,Romania,,,,,,Italia,,,,,,
26,23.06.2024,22:00,A,Skotlanti,Unkari,2.8,3.5,2.4,1-2,2,1,2,,,,,,,,,,Lohko F,,,Tanska,,,,,,,,,,
27,24.06.2024,22:00,B,Albania,Espanja,9.5,5.25,1.33,0-3,2,0,3,,,,,,,,,,1,Portugali,,Turkki,,,,,,,,,,
28,24.06.2024,22:00,B,Kroatia,Italia,3.7,3.6,1.95,2-2,X,2,2,,,,,,,,,,2,Tshekki,,,,Tanska,,,,,,,,
29,25.06.2024,19:00,D,Hollanti,Itävalta,2.15,3.7,3.1,2-2,X,2,2,,,,,,,,,,3,Turkki,,,,Italia,,,,,,,,
30,25.06.2024,19:00,D,Ranska,Puola,1.42,4.8,6.75,3-1,1,3,1,,,,,,,,,,4,Georgia,,Sveitsi,,,,,,,,,,
31,25.06.2024,22:00,C,Englanti,Slovenia,1.36,5,8.75,3-0,1,3,0,,,,,,,,,,,,,Italia,,,,,,,,,,
32,25.06.2024,22:00,C,Tanska,Serbia,2.4,3.4,2.87,2-2,X,2,2,,,,,,,,,,,,,,,,,,,,,,,
33,26.06.2024,19:00,E,Slovakia,Romania,2.6,3.1,2.8,1-1,X,1,1,,,,,,,,,,,,,,,,,,,,,,,
34,26.06.2024,19:00,E,Ukraina,Belgia,4.33,3.8,1.77,2-2,X,2,2,,,,,,,,,,,,,,,,,,,,,,,
35,26.06.2024,22:00,F,Georgia,Portugali,7.25,5.75,1.34,1-3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,
36,26.06.2024,22:00,F,Tshekki,Turkki,3.1,3.3,2.3,2-2,X,2,2,,,,,,,,,,,,,,,,,,,,,,,
